,Glaucoma,Age-related Macular Degeneration,Cataract,Diabetes (Reported or Blood Test),Diabetes (Clinical Criteria),Ischemic Heart Disease,Peripheral Artery Disease Symptoms,Early Life Respiratory Disease
Group 1.0,1.005505966818667,0.8053222059064105,0.9737338148077758,0.92916526775616,0.8671745246379923,0.9041227350696396,1.5358178928084005,0.914456213917764
Group nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Group 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Group 3.0,0.0,2.3276249298147107,0.19414588455684345,1.1208598080302827,0.628963738431194,1.7604040281485076,1.3891391764092635,0.0
Group 6.0,0.0,0.0,1.8929223744292238,3.6427943760984185,6.132396449704141,2.451991324921136,0.0,0.0
Group 8.0,2.3758148864531843,1.931433452399441,0.7517989572201174,0.9300751598549153,1.217780855260397,1.1825206389690583,0.42692220551584936,1.3890098844027474
Group 10.0,0.0,0.0,0.0,7.285588752196837,12.264792899408283,0.0,0.0,0.0
Group 11.0,0.0,7.56478102189781,2.2084094368340947,0.607132396016403,1.0220660749506902,2.451991324921136,2.006534365924492,4.08021653543307
Group 12.0,0.0,0.0,0.9464611872146119,1.8213971880492092,3.0661982248520707,0.0,0.7524503872216844,6.120324803149606
Group 13.0,0.0,0.0,0.0,3.6427943760984185,3.0661982248520707,1.225995662460568,0.7524503872216844,0.0
Group 19.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5147023233301065,0.0
Group 31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Group 32.0,0.0,0.0,1.5143378995433792,0.0,0.0,1.9615930599369087,0.0,9.79251968503937
Group 36.0,0.0,0.0,0.0,0.0,0.0,9.807965299684543,0.0,0.0
Group 37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Group 38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
